"tecido","personalizacao","compativel","observacao"
"algodao_basico","silkscreen","sim","Combinação clássica - melhor relação custo-benefício"
"algodao_basico","dtf","sim","Excelente fixação em algodão"
"algodao_basico","bordado","sim","Bordado fica firme e durável"
"algodao_basico","etiqueta","sim","Sem restrição"
"algodao_penteado","silkscreen","sim","Estampa fica nítida"
"algodao_penteado","dtf","sim","Excelente resultado"
"algodao_penteado","bordado","sim","Acabamento premium"
"algodao_penteado","etiqueta","sim","Sem restrição"
"algodao_pima","silkscreen","sim","Resultado premium"
"algodao_pima","dtf","sim","Excelente resultado"
"algodao_pima","bordado","sim","Acabamento sofisticado"
"algodao_pima","etiqueta","sim","Sem restrição"
"malha_mista","silkscreen","sim","Bom resultado, secagem mais rápida que algodão puro"
"malha_mista","dtf","sim","Boa fixação"
"malha_mista","bordado","sim","Sem restrição"
"malha_mista","etiqueta","sim","Sem restrição"
"moletom_flanelado","silkscreen","sim","Estampa firme na parte externa - não estampar no avesso peluciado"
"moletom_flanelado","dtf","sim","Boa adesão na parte externa"
"moletom_flanelado","bordado","sim","Bordado fica em destaque"
"moletom_flanelado","etiqueta","sim","Sem restrição"
"moletom_peluciado","silkscreen","limitado","Pode esfarinhar com o tempo - DTF é melhor opção"
"moletom_peluciado","dtf","sim","Mais durável que silk em peluciado"
"moletom_peluciado","bordado","sim","Funciona bem"
"jeans","silkscreen","sim","Resultado clássico - tinta com aderência específica"
"jeans","dtf","limitado","Aderência menor que em malha - durabilidade reduzida"
"jeans","bordado","sim","Excelente - tradicional em jeans"
"jeans","etiqueta","sim","Sem restrição"
"alfaiataria","silkscreen","limitado","Possível mas não usual - peças formais raramente estampadas"
"alfaiataria","dtf","limitado","Possível mas não usual"
"alfaiataria","bordado","sim","Bordado discreto funciona bem"
"alfaiataria","etiqueta","sim","Sem restrição"
"viscose","silkscreen","limitado","Viscose é fina e pode marcar com tinta - amostra recomendada"
"viscose","dtf","limitado","Pode endurecer área impressa em tecido leve"
"viscose","bordado","limitado","Tecido fino pode franzir com bordado - bordado leve apenas"
"viscose","etiqueta","sim","Sem restrição"
"linho","silkscreen","sim","Boa aderência"
"linho","dtf","sim","Boa aderência"
"linho","bordado","sim","Funciona bem"
"linho","etiqueta","sim","Sem restrição"
"dry_fit","silkscreen","limitado","Tinta específica para poliéster - sublimação é alternativa melhor"
"dry_fit","dtf","sim","Indicado para tecidos esportivos"
"dry_fit","bordado","limitado","Pode afetar elasticidade - bordado leve"
"dry_fit","etiqueta","sim","Sem restrição"
"suplex","silkscreen","limitado","Tinta específica necessária"
"suplex","dtf","sim","Boa opção pra leggings"
"suplex","bordado","nao","Bordado afeta elasticidade - não recomendado"
"la","silkscreen","nao","Não estampamos em lã"
"la","dtf","nao","Não estampamos em lã"
"la","bordado","sim","Bordado é a única personalização recomendada em lã"
"la","etiqueta","sim","Sem restrição"
"tencel","silkscreen","sim","Boa aderência"
"tencel","dtf","sim","Excelente resultado"
"tencel","bordado","sim","Funciona bem"
"rPET_reciclado","silkscreen","sim","Tinta para poliéster"
"rPET_reciclado","dtf","sim","Boa opção"
"rPET_reciclado","bordado","sim","Sem restrição"
"bambu","silkscreen","sim","Boa aderência"
"bambu","dtf","sim","Excelente"
"bambu","bordado","sim","Funciona bem"
