"produto","tecido_principal","metros_por_peca","observacao"
"camiseta_basica","algodao_basico","1.20","Modelagem padrão adulto M. PP reduz ~10%, XGG adiciona ~20%"
"camiseta_basica","algodao_penteado","1.20","Mesmo consumo do básico — mesma modelagem"
"camiseta_basica","algodao_pima","1.20","Mesmo consumo — tecido premium não altera a modelagem"
"camiseta_basica","dry_fit","1.15","Dry fit tem menor perdas no encaixe por ser mais estável"
"camiseta_basica","malha_mista","1.20","Consumo padrão"
"baby_look","algodao_basico","0.95","Modelagem feminina mais curta e cintada"
"baby_look","algodao_pima","0.95","Mesmo consumo"
"regata","algodao_basico","0.85","Sem manga — consumo significativamente menor"
"regata","dry_fit","0.80","Sem manga + tecido mais estável"
"polo","algodao_penteado","1.40","Gola polo e estrutura adicional consomem mais tecido"
"polo","algodao_pima","1.40","Mesmo consumo"
"polo","malha_mista","1.40","Mesmo consumo"
"polo","dry_fit","1.35","Pequena redução por encaixe mais eficiente"
"uniforme_polo","malha_mista","1.45","Reforços e caimento estruturado adicionam consumo"
"uniforme_jaleco","alfaiataria","2.10","Jaleco longo com mangas — alto consumo"
"moletom","moletom_flanelado","1.80","Gramatura alta + modelagem ampla aumentam consumo"
"moletom","moletom_peluciado","1.85","Peluciado tem menos elasticidade — mais perdas no corte"
"jaqueta","moletom_flanelado","2.00","Jaqueta com fechamento e capuz"
"jaqueta","moletom_peluciado","2.10","Peluciado exige mais folga na modelagem"
"legging","suplex","0.90","Suplex elástico — menor consumo por modelagem justa"
"bermuda","algodao_basico","0.80","Peça curta — baixo consumo"
"bermuda","suplex","0.75","Elástico reduz ainda mais o consumo"
"calca_jeans","jeans","1.70","Calça inteira com modelagem estruturada"
"calca_alfaiataria","alfaiataria","1.75","Calça com pregas e forro parcial"
"vestido_midi","viscose","2.20","Comprimento midi + caimento fluido exigem mais tecido"
"vestido_longo","viscose","2.80","Comprimento longo — alto consumo"
"jogger","moletom_flanelado","1.60","Calça com elástico — modelagem relaxada"
"jogger","algodao_basico","1.55","Levemente menor por tecido menos espesso"
"oversized","algodao_basico","1.60","Modelagem ampla consome mais que a camiseta padrão"
"infantil_camiseta","algodao_basico","0.65","Grade 8 anos como referência. Varia por tamanho (2 a 14 anos)"
"infantil_moletom","moletom_flanelado","1.10","Menor que adulto mas consome mais que camiseta infantil"
