"tecido","metros_disponivel","status","previsao_reposicao","observacao"
"algodao_basico","4200","disponivel","","Tecido mais usado — reposição a cada 30 dias"
"algodao_penteado","2800","disponivel","","Reposição mensal programada"
"algodao_pima","1100","disponivel","","Volume menor — demanda premium"
"malha_mista","3500","disponivel","","Alto giro — uniforme corporativo"
"moletom_flanelado","1800","disponivel","","Demanda sazonal — pico no inverno"
"moletom_peluciado","620","disponivel","","Estoque mais baixo — produto premium"
"dry_fit","2200","disponivel","","Demanda esportiva constante"
"suplex","980","disponivel","","Linha de leggings e fitness"
"viscose","950","disponivel","","Linha feminina e vestidos"
"jeans","0","indisponivel","2025-06-02","Aguardando reposição do fornecedor SC"
"linho","0","indisponivel","2025-05-28","Reposição chegando em breve"
"alfaiataria","760","disponivel","","Linha corporativa e jalecos"
"la","320","disponivel","","Volume pequeno — demanda específica"
"tencel","540","disponivel","","Linha sustentável — baixo volume"
"rpet_reciclado","410","disponivel","","Linha eco — crescendo"
